NAIC,Unnamed: 0,Unnamed: 1,Illinois,Unnamed: 2,Illinois.1,Illinois.2,Illinois.3,"NAICCompanyCode",Company Name,Domicile,"IllinoisDirect PremiumsWritten","IllinoisMarket Share","IllinoisDirect PremiumsEarned","IllinoisDirect LossesIncurred","IllinoisPure Direct LossRatio"
,,,,,,,,25178.0,State Farm Mut Auto Ins Co,IL,"$1,630,645,557",28.72%,"$1,589,069,443","$1,178,331,914",74.15%
,,,,,,,,21727.0,Progressive Universal Ins Co,WI,"$458,771,914",8.08%,"$426,003,659","$225,492,119",52.93%
,,,,,,,,29688.0,Allstate Fire & Cas Ins Co,IL,"$443,478,033",7.81%,"$452,704,084","$303,565,034",67.06%
,,,,,,,,38628.0,Progressive Northern Ins Co,WI,"$304,026,861",5.35%,"$284,296,880","$172,515,491",60.68%
,,,,,,,,21008.0,Country Pref Ins Co,IL,"$269,275,799",4.74%,"$263,670,071","$151,539,281",57.47%
,,,,,,,,14137.0,GEICO Secure Ins Co,NE,"$146,998,170",2.59%,"$146,699,048","$91,887,346",62.64%
,,,,,,,,41491.0,Geico Cas Co,NE,"$137,750,805",2.43%,"$145,380,039","$94,001,608",64.66%
,,,,,,,,10386.0,American Family Ins Co,WI,"$106,818,807",1.88%,"$111,059,370","$70,358,003",63.35%
,,,,,,,,19070.0,Standard Fire Ins Co,CT,"$105,064,748",1.85%,"$103,703,733","$64,497,934",62.19%
,,,,,,,,20990.0,Country Mut Ins Co,IL,"$96,432,564",1.70%,"$94,547,743","$58,150,087",61.50%
,,,,,,,,26271.0,Erie Ins Exch,PA,"$84,890,480",1.50%,"$79,055,746","$74,170,067",93.82%
,,,,,,,,19275.0,American Family Mut Ins Co SI,WI,"$82,962,474",1.46%,"$82,483,577","$40,020,840",48.52%
,,,,,,,,13752.0,American Alliance Cas Co,IL,"$81,794,942",1.44%,"$91,586,219","$48,497,828",52.95%
,,,,,,,,21202.0,Auto Club Ins Assoc,MI,"$73,666,737",1.30%,"$71,162,675","$63,309,193",88.96%
,,,,,,,,21679.0,Illinois Farmers Ins Co,IL,"$69,707,533",1.23%,"$72,456,892","$28,018,912",38.67%
,,,,,,,,25143.0,State Farm Fire & Cas Co,IL,"$67,281,664",1.18%,"$65,978,666","$62,627,798",94.92%
,,,,,,,,11110.0,Allstate N Amer Ins Co,IL,"$66,127,927",1.16%,"$43,865,888","$51,220,788",116.77%
,,,,,,,,32700.0,Owners Ins Co,OH,"$63,240,891",1.11%,"$58,387,724","$36,871,284",63.15%
,,,,,,,,12721.0,Direct Auto Ins Co,ND,"$61,027,561",1.07%,"$63,882,376","$52,161,611",81.65%
,,,,,,,,10655.0,Unique Ins Co,IL,"$47,841,477",0.84%,"$48,201,166","$31,278,553",64.89%
,,,,,,,,10358.0,Encompass Ins Co,IL,"$47,781,404",0.84%,"$38,159,225","$45,629,008",119.58%
,,,,,,,,39012.0,Safeco Ins Co Of IL,IL,"$47,714,803",0.84%,"$51,087,751","$32,078,710",62.79%
,,,,,,,,12484.0,Liberty Mut Personal Ins Co,NH,"$45,286,787",0.80%,"$53,721,281","$26,925,003",50.12%
,,,,,,,,19658.0,Bristol W Ins Co,OH,"$42,430,209",0.75%,"$41,395,100","$22,781,730",55.03%
,,,,,,,,25968.0,USAA Cas Ins Co,TX,"$41,263,910",0.73%,"$41,022,141","$30,079,968",73.33%
,,,,,,,,25941.0,United Serv Automobile Assn,TX,"$39,177,413",0.69%,"$39,218,435","$27,896,693",71.13%
,,,,,,,,13587.0,First Chicago Ins Co,IL,"$37,533,329",0.66%,"$33,461,935","$16,524,251",49.38%
,,,,,,,,10212.0,Allmerica Fin Alliance Ins Co,NH,"$33,834,981",0.60%,"$35,031,133","$19,802,123",56.53%
